Id,Source,ObjectType,ObjectName,ObjectLabel,TopicNumber,ObjectParent,DefinedBy,TaxonomyNetwork
1,ASC,[Root],FinancialReport,Financial Report,205,Topic,https://asc.fasb.org/,None
2,ASC,[Heading],PrimaryFinancialStatements,Primary Financial Statements,205,FinancialReport,https://asc.fasb.org/,None
3,ASC,[TOPIC],BalanceSheet,Balance Sheet,210,PrimaryFinancialStatements,https://asc.fasb.org/topic&trid=2122208,http://fasb.org/us-gaap/role/statement/StatementOfFinancialPositionClassified
4,ASC,[TOPIC],IncomeStatement,Income Statement,225,PrimaryFinancialStatements,https://asc.fasb.org/topic&trid=2122288,http://fasb.org/us-gaap/role/statement/StatementOfIncome
5,ASC,[TOPIC],CashFlowStatement,Cash Flow Statement,230,PrimaryFinancialStatements,https://asc.fasb.org/topic&trid=2134446,http://fasb.org/us-gaap/role/statement/StatementOfCashFlowsIndirect
6,ASC,[TOPIC],StatementShareholderEquity,Statement of Changes in Equity,215,PrimaryFinancialStatements,https://asc.fasb.org/topic&trid=2122265,http://fasb.org/us-gaap/role/statement/StatementOfShareholdersEquityAndOtherComprehensiveIncome
7,ASC,[TOPIC],ComprehensiveIncome,Comprehensive Income,220,PrimaryFinancialStatements,https://asc.fasb.org/topic&trid=2134417,http://fasb.org/us-gaap/role/statement/StatementOfOtherComprehensiveIncome
8,ASC,[Heading],OrganizationConsolidationPresentationFinancialStatements,"Organization, Consolidation, and Presentation of Financial Statements",235,FinancialReport,https://asc.fasb.org/extlink&oid=6927468&loc=d3e6003-108592,http://fasb.org/us-gaap/role/disclosure/OrganizationConsolidationAndPresentationOfFinancialStatements
9,ASC,[TOPIC],Organization,Organization,235,OrganizationConsolidationPresentationFinancialStatements,https://asc.fasb.org/extlink&oid=6927468&loc=d3e6003-108592,None
10,ASC,[TOPIC],ConsolidationInformation,Consolidation Information,810,OrganizationConsolidationPresentationFinancialStatements,https://asc.fasb.org/extlink&oid=6927468&loc=d3e6003-108592,None
11,ASC,[TOPIC],PresentationFinancialStatements,Presentation of Financial Statements,235,BasisOfFinancialStatementPresentation,https://asc.fasb.org/extlink&oid=6927468&loc=d3e6003-108592,None
